Задача 2.
Попълнете таблицата:

Decimal             Binary          Hexadecimal
0                     00                0
167                11100101           0x5E     
62                 011111             0x1F
188                00111101           0x3D
55                 00110111           0x37     
136                10001000           0x88
243                11110011           0xF3
82                 01010010           0x52
162                10100010           0xA2
231                11100111           0xE7
